4|To Kill a Mockingbird|1960|4.25|3198671|61120081/9780061120080
5|The Great Gatsby|1925|3.89|2683664|743273567/9780743273560
6|The Fault in Our Stars|2012|4.26|2346404|525478817/9780525478810
7|The Hobbit|1937|4.25|2071616|618260307/9780618260300
8|The Catcher in the Rye|1951|3.79|2044241|316769177/9780316769170
10|Pride and Prejudice|1813|4.24|2035490|679783261/9780679783270
11|The Kite Runner|2003|4.26|1813044|1594480001/9781594480000
13|1984|1949|4.14|1956832|451524934/9780451524940
14|Animal Farm|1945|3.87|1881700|452284244/9780452284240
15|The Diary of a Young Girl|1947|4.1|1972666|553296981/9780553296980
22|The Lovely Bones|2002|3.77|1605173|316166685/9780316166680
28|Lord of the Flies|1954|3.64|1605019|140283331/9780140283330
29|Romeo and Juliet|1595|3.73|1628519|743477111/9780743477120
30|Gone Girl|2012|4.03|512475|297859382/9780297859380
31|The Help|2009|4.45|1531753|399155341/9780399155340
32|Of Mice and Men|1937|3.84|1467496|142000671/9780142000670
33|Memoirs of a Geisha|1997|4.08|1300209|739326228/9780739326220
35|The Alchemist|1988|3.82|1299566|61122416/9780061122420
38|The Time Traveler's Wife|2003|3.95|746287|965818675/9780965818670
40|Eat, Pray, Love|2006|3.51|1181647|143038419/9780143038410
43|Jane Eyre|1847|4.1|1198557|142437204/9780142437210
45|Life of Pi|2001|3.88|1003228|770430074/9780770430080
46|Water for Elephants|2006|4.07|1068146|1565125606/9781565125600
47|The Book Thief|2005|4.36|1159741|375831002/9780375831000
48|Fahrenheit 451|1953|3.97|570498|307347974/9780307347980
50|Where the Sidewalk Ends|1974|4.29|1016888|60513039/9780060513030
55|Brave New World|1932|3.97|1022601|60929871/9780060929880
57|The Secret Life of Bees|2001|4.01|916189|142001740/9780142001740
58|The Adventures of Huckleberry Finn|1884|3.8|953758|142437174/9780142437180
59|Charlotte's Web|1952|4.15|1064521|64410935/9780064410940
60|The Curious Incident of the Dog in the Night-Time|2003|3.85|867553|1400032717/9781400032720
61|The Girl on the Train|2015|3.88|1008778|1594633665/9781594633670
63|Wuthering Heights|1847|3.82|899195|393978893/9780393978900
64|My Sister's Keeper|2004|4.06|863879|743454537/9780743454540
65|Slaughterhouse-Five|1969|4.06|846488|385333846/9780385333850
66|Gone with the Wind|1936|4.28|873981|446675539/9780446675540
67|A Thousand Splendid Suns|2007|4.34|818742|1594489505/9781594489500
68|The Perks of Being a Wallflower|1999|4.21|888806|671027344/9780671027350
71|Frankenstein|1818|3.75|808589|141439475/9780141439470
72|The Shining (The Shining |1977|||450040186/9780450040180
74|Looking for Alaska|2005|4.09|783470|142402516/9780142402510
76|Sense and Sensibility|1811|4.06|738894|141439661/9780141439660
79|The Odyssey|-720|3.73|670326|143039954/9780143039950
80|The Little Prince|1946|4.28|738757|156012197/9780156012200
81|The Glass Castle|2005|4.24|621099|074324754X/9780743247540
82|Into the Wild|1996|3.94|647684|385486804/9780385486800
83|A Tale of Two Cities|1859|3.81|637412|141439602/9780141439600
85|The Giving Tree|1964|4.38|702332|60256656/9780060256650
86|A Time to Kill|1989|4.03|597775|385338600/9780385338610
87|Night (The Night Trilogy |1958|||374500010/9780374500020
88|Paper Towns|2008|3.88|461311|014241493X/9780142414930
89|The Princess Bride |1973|4.25|628637|345418263/9780345418260
90|The Outsiders|1967|4.06|659248|014038572X/9780140385720
93|The Secret Garden|1911|4.12|639357|517189607/9780517189600
94|One Hundred Years of Solitude|1967|4.04|490565|60531045/9780060531040
95|The Picture of Dorian Gray|1891|4.06|590014|375751513/9780375751520
97|Dracula|1897|3.98|618973|393970124/9780393970130
100|The Poisonwood Bible|1998|4.02|546502|60786507/9780060786500
101|Me Talk Pretty One Day|2000|3.97|495736|349113912/9780349113910
102|Where the Wild Things Are|1963|4.22|620618|99408392/9780099408390
103|The Count of Monte Cristo|1844|4.21|555822|140449264/9780140449270
104|The Road|2006|3.95|504793|307265439/9780307265430
106|Bossypants|2011|3.94|506250|
107|A Walk to Remember|1999|4.15|546948|446693804/9780446693810
109|Les Misérables|1862|4.14|513407|451525264/9780451525260
111|The Memory Keeper's Daughter|2005|3.64|501430|143037145/9780143037150
113|Catch-22|1961|3.98|563265|684833395/9780684833390
114|Tuesdays with Morrie|1997|4.06|556518|751529818/9780751529810
115|Middlesex|2002|3.98|488243|312422156/9780312422160
116|The Adventures of Tom Sawyer|1876|3.89|555359|143039563/9780143039560
118|The Joy Luck Club|1989|3.9|515090|143038095/9780143038090
119|The Handmaid's Tale|1985|4.06|607889|038549081X/9780385490820
121|Lolita|1955|3.88|469836|
123|The Firm (Penguin Readers, Level 5)|1991|3.99|488269|582418275/9780582418270
124|Room|2010|4.03|511360|316098337/9780316098340
125|Hamlet|1600|4|515820|521618746/9780521618750
126|Dune (Dune Chronicles |1965|||340839937/9780340839940
127|The Tipping Point: How Little Things Can Make a Big Difference|2000|3.92|490504|316346624/9780316346630
128|Steve Jobs|2011|4.09|560715|1451648537/9781451648540
129|One Flew Over the Cuckoo's Nest|1962|4.18|491642|451163966/9780451163970
130|The Old Man and the Sea|1952|3.73|520630|684830493/9780684830490
131|The Grapes of Wrath|1939|3.92|322321|142000663/9780142000660
132|The Five People You Meet in Heaven|2003|3.9|449501|1401308589/9781401308580
136|Divine Secrets of the Ya-Ya Sisterhood|1996|3.79|465676|006075995X/9780060759960
138|The Scarlet Letter|1850|3.37|509883|142437263/9780142437260
141|The Martian|2012|4.39|423344|804139024/9780804139020
143|All the Light We Cannot See|2014|4.31|470001|1476746583/9781476746590
144|Unbroken: A World War II Story of Survival, Resilience, and Redemption|2010|4.4|487775|1400064163/9781400064170
145|Deception Point|2001|3.67|455610|671027387/9780671027380
146|The Goldfinch|2013|3.87|396756|316055433/9780316055440
147|Thirteen Reasons Why|2007|4.02|463783|1595141715/9781595141710
148|Girl with a Pearl Earring|1999|3.85|467577|452287022/9780452287020
150|The Red Tent|1997|4.16|424981|312353766/9780312353770
152|Dear John|2006|4.01|441062|446528056/9780446528050
154|Macbeth|1606|3.88|496018|743477103/9780743477110
157|Green Eggs and Ham|1960|4.29|457475|394800168/9780394800160
160|Great Expectations|1860|3.75|459247|192833596/9780192833590
162|The Stranger|1942|3.96|420600|
164|Eleanor & Park|2013|4.11|514312|1250012570/9781250012580
168|The Stand|1978|4.34|438832|385199570/9780385199580
169|The Last Song|2008|4.14|424637|446547565/9780446547570
170|Digital Fortress|1998|3.6|423019|552151696/9780552151700
171|Emma|1815|3.99|459826|141439580/9780141439590
172|Anna Karenina|1877|4.02|297472|345803922/9780345803920
173|A Clockwork Orange|1962|3.98|431195|393312836/9780393312840
174|The Shack|2007|3.74|419539|964729237/9780964729230
176|It|1986|4.18|292592|451169514/9780451169520
177|Crime and Punishment|1866|4.18|380903|143058142/9780143058140
178|The Bell Jar|1963|3.98|401605|61148512/9780061148510
180|Siddhartha|1922|3.99|372099|553208845/9780553208850
181|In Cold Blood|1965|4.05|381652|679745580/9780679745590
184|Matilda|1988|4.29|440743|141301066/9780141301070
185|The Night Circus|2011|4.03|429543|385534639/9780385534640
190|Wild: From Lost to Found on the Pacific Crest Trail|2012|3.96|379872|307592731/9780307592740
191|Watchmen|1987|4.35|398018|930289234/9780930289230
193|Outliers: The Story of Success|2008|4.11|353011|316017922/9780316017920
194|Moby-Dick or, The Whale|1851|3.46|358050|142437247/9780142437250
195|The Guernsey Literary and Potato Peel Pie Society|2008|4.12|393626|385340990/9780385340990
196|Fight Club|1996|4.2|365349|393327345/9780393327340
198|The Color Purple|1982|4.17|376766|671727796/9780671727800
199|Marley and Me: Life and Love With the World's Worst Dog|2005|4.12|367304|739461192/9780739461200
200|And Then There Were None|1939|4.23|408983|312330871/9780312330870
204|A Christmas Carol|1843|4.02|394540|1561797464/9781561797460
208|The Immortal Life of Henrietta Lacks|2010|4.04|377249|1400052173/9781400052170
211|Blink: The Power of Thinking Without Thinking|2005|3.89|348196|316010669/9780316010660
212|Atonement|2001|3.88|347006|038572179X/9780385721790
213|The Metamorphosis|1915|3.78|364933|553213695/9780553213690
215|Ready Player One|2011|4.31|349423|030788743X/9780307887440
216|The Art of Racing in the Rain|2006|4.19|327409|1554681723/9781554681720
217|The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America|2003|3.98|309385|739303406/9780739303400
220|Twilight: The Complete Illustrated Movie Companion||4.23|291411|316043133/9780316043140
225|East of Eden|1952|4.35|320919|142000655/9780142000660
226|Dark Places|2009|3.92|333452|307341569/9780307341560
227|The Client|1993|3.97|320083|385339089/9780385339090
229|Alice's Adventures in Wonderland & Through the Looking-Glass|1865|4.06|340920|451527747/9780451527740
230|Persuasion|1817|4.13|365425|192802631/9780192802640
231|Sarah's Key|2007|4.14|312444|312370830/9780312370830
233|Love in the Time of Cholera|1985|3.89|283806|140003468X/9781400034680
234|Speak|1999|4|360156|014131088X/9780141310890
235|The Husband's Secret|2013|3.92|232106|399159347/9780399159340
236|Into Thin Air: A Personal Account of the Mount Everest Disaster|1997|4.11|291258|385494785/9780385494790
237|Carrie|1974|3.93|356814|1416524304/9781416524300
238|Running with Scissors|2002|3.7|293878|031242227X/9780312422270
239|World War Z: An Oral History of the Zombie War|2006|4.01|312969|307346609/9780307346600
241|Number the Stars|1989|4.11|333638|440227534/9780440227530
243|Misery|1987|4.11|334647|450417395/9780450417400
244|Sharp Objects|2006|3.92|207889|307341542/9780307341550
245|Bridge to Terabithia|1977|3.98|337644|439366771/9780439366780
247|The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change|1989|4.05|314700|743269519/9780743269510
248|A Midsummer Night's Dream|1595|3.94|334241|743477545/9780743477540
249|Extremely Loud and Incredibly Close|2005|3.97|294726|618711651/9780618711660
250|Wonder|2012|4.43|228538|375869026/9780375869020
251|The Cat in the Hat|1957|4.15|314016|039480001X/9780394800010
255|Atlas Shrugged|1957|3.68|283295|452011876/9780452011880
256|Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time|2006|3.64|283516|143038257/9780143038250
257|Alice in Wonderland|1865|4.03|343252|517223627/9780517223630
260|How to Win Friends and Influence People|1936|4.13|282623|
261|Under the Tuscan Sun|1996|3.72|279264|767900383/9780767900390
262|Big Little Lies|2014|4.2|306186|399167064/9780399167060
263|Ella Enchanted|1997|3.97|339117|590920685/9780590920680
264|The Sun Also Rises|1926|3.83|284988|743297334/9780743297330
265|A Tree Grows in Brooklyn|1943|4.24|291909|61120073/9780061120080
267|The Nightingale|2015|4.54|253606|312577222/9780312577220
268|Never Let Me Go|2005|3.8|294123|1400078776/9781400078780
269|P.S. I Love You|2003|4.01|262921|786890754/9780786890750
270|Rebecca|1938|4.2|177384|1844080382/9781844080380
271|Flowers for Algernon|1966|4.07|313044|156030306/9780156030300
272|Like Water for Chocolate|1989|3.94|263199|552995878/9780552995870
273|Snow Flower and the Secret Fan|2005|4.05|280475|812968069/9780812968060
274|The Godfather|1969|4.36|256480|451205766/9780451205770
275|An Abundance of Katherines|2006|3.63|312754|525476881/9780525476890
276|Foundation (Foundation |1951|||553803719/9780553803720
277|The Ocean at the End of the Lane|2013|3.99|293844|62255657/9780062255660
278|A Light in the Attic|1981|4.34|297861|60513063/9780060513060
281|The Pelican Brief|1992|3.95|288376|385339704/9780385339700
282|Coraline|2002|4.03|316379|61139378/9780061139380
283|Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch|1990|4.25|298304|60853980/9780060853980
284|On the Road|1955|3.64|246602|140042598/9780140042600
286|The Lucky One|2008|4.1|267166|446579939/9780446579930
287|The Fountainhead|1943|3.85|244545|451191153/9780451191150
290|Is Everyone Hanging Out Without Me? (And Other Concerns)|2011|3.84|290674|307886263/9780307886260
291|Cutting for Stone|2009|4.28|258319|375414495/9780375414500
293|Treasure Island|1882|3.82|268012|753453800/9780753453800
295|23337|2011|4.29|258464|1451627289/9781451627280
296|The Very Hungry Caterpillar Board Book|1969|4.29|296952|241003008/9780241003010
297|Cat's Cradle|1963|4.18|238940|140285601/9780140285600
298|The Time Machine|1895|3.87|276076|451528557/9780451528550
299|Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back|2010|4.01|228371|849946158/9780849946160
300|The Boy in the Striped Pajamas|2006|4.1|285692|385751060/9780385751060
301|Heart of Darkness|1899|3.42|255576|1892295490/9781892295490
302|Safe Haven|2010|4.19|255531|044654759X/9780446547600
304|I Know This Much Is True|1998|4.17|246917|60987561/9780060987560
305|Pet Sematary|1983|3.91|256383|1416524347/9781416524340
306|She's Come Undone|1992|3.84|259576|671021001/9780671021010
308|Can You Keep a Secret?|2003|3.83|278747|440241901/9780440241900
311|The Thorn Birds|1977|4.22|255651|380018179/9780380018180
312|The Graveyard Book|2008|4.12|302303|60530928/9780060530920
313|The Light Between Oceans|2012|4|243526|1451681739/9781451681730
315|Who Moved My Cheese?|1998|3.74|237272|91883768/9780091883770
316|A Walk in the Woods|1997|4.05|250192|307279464/9780307279460
317|I Know Why the Caged Bird Sings|1969|4.19|270859|553279378/9780553279380
318|Orphan Train|2013|4.14|226091|61950726/9780061950730
320|Where'd You Go, Bernadette|2012|3.9|215453|316204277/9780316204280
321|Where the Red Fern Grows|1961|4.04|268548|375806814/9780375806810
322|Neverwhere|1996|4.18|268318|60557818/9780060557810
323|The Unbearable Lightness of Being|1984|4.08|205279|571224385/9780571224390
324|Fangirl|2013|4.12|340379|
325|A Prayer for Owen Meany|1989|4.22|226964|552135399/9780552135400
326|White Oleander|1999|3.93|245674|316182540/9780316182550
328|Nineteen Minutes|2007|4.1|235978|743496728/9780743496730
329|The Last Lecture|2008|4.25|241869|1401323251/9781401323260
331|The Pact|1998|4|221225|61150142/9780061150140
333|Still Alice|2007|4.3|223432|595440096/9780595440090
335|James and the Giant Peach|1961|3.99|270402|375814248/9780375814240
337|The Ultimate Hitchhiker's Guide to the Galaxy|1996|4.37|222842|345453743/9780345453750
338|One Day|2009|3.77|222926|340896965/9780340896970
339|Goodnight Moon|1947|4.27|244842|60775858/9780060775860
341|The Iliad|-750|3.83|241088|140275363/9780140275360
342|The Casual Vacancy|2012|3.28|231835|316228532/9780316228530
343|The Runaway Jury|1996|3.96|222712|385339690/9780385339700
344|Naked|1997|4.08|201337|316777730/9780316777740
348|We Were Liars|2014|3.85|273442|
349|'Salem's Lot|1975|3.99|228680|450031063/9780450031070
350|Fear and Loathing in Las Vegas|1971|4.08|232489|679785892/9780679785900
352|Yes Please|2014|3.81|251082|62268341/9780062268340
353|Othello|1603|3.88|238875|743477553/9780743477550
354|Beloved|1987|3.77|233825|1400033411/9781400033420
357|All Quiet on the Western Front|1929|3.92|249113|449213943/9780449213940
358|Oh, The Places You'll Go!|1990|4.34|257260|679805273/9780679805270
359|And the Mountains Echoed|2012|4.03|199326|159463176X/9781594631760
360|Do Androids Dream of Electric Sheep?|1968|4.08|223828|345404475/9780345404470
361|Oliver Twist|1838|3.85|230181|141439742/9780141439750
362|The Screwtape Letters|1942|4.21|116277|60652896/9780060652890
364|How the Grinch Stole Christmas!|1957|4.36|250602|7173040/9780007173040
365|V for Vendetta|1990|4.25|210682|1401207928/9781401207920
366|John Adams|2001|4.05|215780|743223136/9780743223130
371|Stranger in a Strange Land|1961|3.91|220301|441788386/9780441788380
372|Dress Your Family in Corduroy and Denim|2004|4.08|191923|965904830/9780965904830
373|The BFG|1982|4.22|245855|141311371/9780141311370
374|A Short History of Nearly Everything|2003|4.19|191535|076790818X/9780767908180
375|The Call of the Wild|1903|3.83|223932|439227143/9780439227150
377|Stardust|1999|4.07|237602|61142026/9780061142020
378|The Namesake|2003|3.96|184211|618485228/9780618485220
380|Norwegian Wood|1987|4.02|183988|375704027/9780375704020
381|Where the Heart Is|1995|4|208333|446672211/9780446672210
382|Will Grayson, Will Grayson|2010|3.84|236431|525421580/9780525421580
383|A Million Little Pieces|2003|3.62|184241|307276902/9780307276900
385|Quiet: The Power of Introverts in a World That Can't Stop Talking|2012|4.04|202135|307352145/9780307352150
387|The Crucible|1953|3.55|242980|142437336/9780142437340
390|The Strange Case of Dr. Jekyll and Mr. Hyde|1886|3.79|223535|451528956/9780451528960
391|The Lorax|1971|4.35|226564|679889108/9780679889110
395|For Whom the Bell Tolls|1940|3.95|195063|684803356/9780684803360
396|Hotel on the Corner of Bitter and Sweet|2009|3.98|197294|345505336/9780345505330
397|Perfume: The Story of a Murderer|1985|4|178135|140120831/9780140120840
398|Fast Food Nation: The Dark Side of the All-American Meal|2001|3.73|179347|60838582/9780060838580
399|The Tales of Beedle the Bard|2007|4.06|284833|747599874/9780747599880
400|Neuromancer|1984|3.88|183878|441569595/9780441569600
401|A Farewell to Arms|1929|3.79|186613|99910101/9780099910110
402|The Tell-Tale Heart and Other Writings|1843|4.15|195689|553212281/9780553212280
403|The Art of War|-500|3.95|167332|1590302257/9781590302260
404|Defending Jacob|2012|3.97|182025|385344228/9780385344230
405|Breakfast of Champions|1973|4.08|178154|385334206/9780385334200
406|The New Drawing on the Right Side of the Brain|1979|3.84|218264|874774241/9780874774240
407|Bel Canto|2001|3.92|192330|60838728/9780060838720
408|Guns, Germs, and Steel: The Fates of Human Societies|1997|4|171558|739467352/9780739467350
409|Fried Green Tomatoes at the Whistle Stop Cafe|1987|4.26|207508|375508414/9780375508420
411|The Undomestic Goddess|2005|3.82|200509|385338694/9780385338690
412|The Five Love Languages: How to Express Heartfelt Commitment to Your Mate|1990|4.23|165675|1881273156/9781881273160
413|The Three Musketeers|1844|4.06|195274|
414|Little Bee|2008|3.7|116784|1416589643/9781416589650
